class_id,course_code,professor,day,time
40002,ACC 201,"Domingo,Maria  ",Tues Fri,8:00 AM
40016,ACC 201,"Rene,Wynette  ",Mon Wed ,5:30 PM
40009,ACC 201,"Bennett,Terrence  ",Mon Thurs ,8:00 AM
40018,ACC 201,"Ahlawat,Sunita  ",Mon Thurs ,9:30 AM
40227,ACC 201,"Padre,Marc  ",Mon Thurs ,2:00 PM
40003,ACC 201,"Domingo,Maria  ",Tues Fri,2:00 PM
40011,ACC 202,"Yuschak,Marjorie  ",Tues Fri,12:30 PM
40012,ACC 202,"Yuschak,Marjorie  ",Tues Fri,9:30 AM
40014,ACC 202,"Ryan,Christina  ",Tues Fri,8:00 AM
40023,ACC 202,"Ahlawat,Sunita  ",Mon Thurs ,2:00 PM
40024,ACC 202,"Ryan,Christina  ",Tues Fri,11:00 AM
40229,ACC 202,"Ahlawat,Sunita  ",Mon Thurs ,8:00 AM
40004,ACC 211,"Miller,Gerald  ",Mon Thurs ,9:30 AM
40005,ACC 211,"Miller,Gerald  ",Mon Thurs ,11:00 AM
40021,ACC 271,"Raquet,Sean  ",Tues ,5:30 PM
42423,ACC 302,"Shahid,Abdus  ",Mon Thurs ,11:00 AM
40205,ACC 302,"Shahid,Abdus  ",Mon Thurs ,12:30 PM
40206,ACC 302,"Shahid,Abdus  ",Thurs ,3:30 PM
40019,ACC 311,"Chiang,Bih-Horng  ",Thurs ,9:30 AM
40207,ACC 311,"Chiang,Bih-Horng  ",Mon Thurs ,2:00 PM
40020,ACC 321,"Sun,Ting  ",Mon Thurs ,9:30 AM
40010,ACC 321,"Sun,Ting  ",Mon Thurs ,12:30 PM
40015,ACC 321,"Sun,Ting  ",Mon Thurs ,3:30 PM
40006,ACC 498,"Nouri,Hossein  ",Tues ,5:30 PM
40007,ACC 498,"Miller,Gerald  ",Mon Thurs ,2:00 PM
41703,BIO 104,"Wund,Matthew  ",Tues Fri,9:30 AM
41704,BIO 104,"Wund,Matthew  ",Tues ,2:00 PM
41705,BIO 104,"Wund,Matthew  ",Fri,2:00 PM
41668,BIO 142,"Uzwiak,Anthony  ",Mon Thurs ,2:00 PM
41669,BIO 142,"Uzwiak,Anthony  ",Tues ,2:00 PM
41670,BIO 142,"Uzwiak,Anthony  ",Tues ,5:30 PM
42250,BIO 142,"Uzwiak,Anthony  ",Mon Thurs ,3:30 PM
42251,BIO 142,"Pepe,Joseph  ",Wed ,2:00 PM
42252,BIO 142,"Pepe,Joseph  ",Wed ,5:30 PM
41671,BIO 144,"King,Rita  ",Mon Wed ,5:30 PM
41672,BIO 144,"King,Rita  ",Mon ,7:00 PM
41712,BIO 144,"King,Rita  ",Wed ,7:00 PM
41706,BIO 144,"Crane,Sharron  ",Tues Thurs ,5:30 PM
41707,BIO 144,"Crane,Sharron  ",Tues ,7:00 PM
41751,BIO 144,"Crane,Sharron  ",Thurs ,7:00 PM
41686,BIO 171,"Crowder,James  ",Mon Wed ,5:30 PM
41687,BIO 171,"Crowder,James  ",Mon ,6:30 PM
41690,BIO 171,"Crowder,James  ",Wed ,6:30 PM
41688,BIO 171,"Swartz,Darl  ",Mon Thurs ,12:30 PM
41689,BIO 171,"Swartz,Darl  ",Mon ,1:30 PM
41691,BIO 171,"Swartz,Darl  ",Thurs ,1:30 PM
41673,BIO 201,"Lovett,Donald  ",Tues Fri,9:30 AM
41674,BIO 201,"Lovett,Donald  ",Tues ,2:00 PM
42253,BIO 201,"Lovett,Donald  ",Thurs ,2:00 PM
42254,BIO 201,"Felton,Philip  ",Tues Fri,8:00 AM
42255,BIO 201,"Felton,Philip  ",Tues ,9:30 AM
42256,BIO 201,"Felton,Philip  ",Fri,9:30 AM
42257,BIO 201,"Herstoff,Emily  ",Mon Thurs ,2:00 PM
42258,BIO 201,"Herstoff,Emily  ",Mon ,9:30 AM
42259,BIO 201,"Herstoff,Emily  ",Thurs ,9:30 AM
42260,BIO 201,"Redere,Agnesa  ",Mon Wed ,5:30 PM
42261,BIO 201,"Redere,Agnesa  ",Mon ,7:00 PM
42262,BIO 201,"Redere,Agnesa  ",Wed ,7:00 PM
41675,BIO 211,"Kress,Tracy  ",Mon Thurs ,9:30 AM
41713,BIO 211,"Kress,Tracy  ",Mon ,2:00 PM
41676,BIO 211,"O'Connell,Marcia  ",Tues Fri,11:00 AM
